A3G0MGLBT484I1	100_1	1
AYHHOK9GDSWNH	100_1	1
A18941IO2ZZWW6	100_1	2
A3PIXX8DQGYHGI	100_1	2
A1GR4JB3DODIQ1	100_1	1
AM7BYJ804O5TF	100_1	1
AUPV5WJK85K4F	100_1	1
A32IZC32FQKVRX	100_1	1
A1AML5YZXW4FIS	100_1	1
AM7BYJ804O5TF	102_0	2
AYHHOK9GDSWNH	102_0	2
A1GR4JB3DODIQ1	102_0	2
A3PIXX8DQGYHGI	102_0	2
A1AML5YZXW4FIS	102_0	2
A11GX90QFWDLMM	102_0	2
AUPV5WJK85K4F	102_0	1
A32IZC32FQKVRX	102_0	2
A18941IO2ZZWW6	102_0	1
A3MPXWFMR0Y2LK	102_1	1
A18941IO2ZZWW6	102_1	2
A3PIXX8DQGYHGI	102_1	2
A2MIF2GUSZLJ0X	102_1	1
A11GX90QFWDLMM	102_1	2
A2GLG8R57PVEQU	102_1	1
A3G0MGLBT484I1	102_1	1
AUPV5WJK85K4F	102_1	1
A3G3JWL19SBHCH	102_1	1
AYHHOK9GDSWNH	103_1	1
A18941IO2ZZWW6	103_1	2
A2GLG8R57PVEQU	103_1	1
A3MPXWFMR0Y2LK	103_1	1
A11GX90QFWDLMM	103_1	2
AUPV5WJK85K4F	103_1	1
A2MIF2GUSZLJ0X	103_1	1
A3G3JWL19SBHCH	103_1	1
A3G0MGLBT484I1	103_1	1
A3PIXX8DQGYHGI	103_11	2
A18941IO2ZZWW6	103_11	2
A3G0MGLBT484I1	103_11	1
AUPV5WJK85K4F	103_11	1
A11GX90QFWDLMM	103_11	1
A3MPXWFMR0Y2LK	103_11	1
A2GLG8R57PVEQU	103_11	1
A2MIF2GUSZLJ0X	103_11	1
A3G3JWL19SBHCH	103_11	1
A11GX90QFWDLMM	103_13	2
A2GLG8R57PVEQU	103_13	2
A3G3JWL19SBHCH	103_13	2
AYHHOK9GDSWNH	103_13	2
A18941IO2ZZWW6	103_13	2
AUPV5WJK85K4F	103_13	2
A3G0MGLBT484I1	103_13	1
A2MIF2GUSZLJ0X	103_13	2
A3MPXWFMR0Y2LK	103_13	2
AYHHOK9GDSWNH	103_14	1
A3PIXX8DQGYHGI	103_14	2
A18941IO2ZZWW6	103_14	2
A2MIF2GUSZLJ0X	103_14	1
AUPV5WJK85K4F	103_14	1
A2GLG8R57PVEQU	103_14	1
A3MPXWFMR0Y2LK	103_14	1
A3G3JWL19SBHCH	103_14	1
A11GX90QFWDLMM	103_14	2
A3MPXWFMR0Y2LK	103_15	1
A11GX90QFWDLMM	103_15	2
A3G3JWL19SBHCH	103_15	1
A3PIXX8DQGYHGI	103_15	2
AUPV5WJK85K4F	103_15	1
A2MIF2GUSZLJ0X	103_15	1
A2GLG8R57PVEQU	103_15	1
AYHHOK9GDSWNH	103_15	1
A3G0MGLBT484I1	103_15	1
A2MIF2GUSZLJ0X	103_2	1
A3G0MGLBT484I1	103_2	1
A11GX90QFWDLMM	103_2	2
A3MPXWFMR0Y2LK	103_2	1
A2GLG8R57PVEQU	103_2	1
AUPV5WJK85K4F	103_2	1
A3PIXX8DQGYHGI	103_2	2
AYHHOK9GDSWNH	103_2	1
A18941IO2ZZWW6	103_2	1
A3G3JWL19SBHCH	103_5	2
A3G0MGLBT484I1	103_5	1
A3PIXX8DQGYHGI	103_5	2
A3MPXWFMR0Y2LK	103_5	1
A2GLG8R57PVEQU	103_5	2
AUPV5WJK85K4F	103_5	1
A11GX90QFWDLMM	103_5	2
AYHHOK9GDSWNH	103_5	2
A18941IO2ZZWW6	103_5	2
A18941IO2ZZWW6	103_6	2
A2GLG8R57PVEQU	103_6	1
AYHHOK9GDSWNH	103_6	2
A3G3JWL19SBHCH	103_6	2
A3MPXWFMR0Y2LK	103_6	1
A2MIF2GUSZLJ0X	103_6	1
A3G0MGLBT484I1	103_6	1
A11GX90QFWDLMM	103_6	2
A3PIXX8DQGYHGI	103_6	2
A3PIXX8DQGYHGI	103_7	2
A3MPXWFMR0Y2LK	103_7	1
A18941IO2ZZWW6	103_7	2
A2MIF2GUSZLJ0X	103_7	1
A3G0MGLBT484I1	103_7	1
A11GX90QFWDLMM	103_7	2
A3G3JWL19SBHCH	103_7	1
AUPV5WJK85K4F	103_7	1
A2GLG8R57PVEQU	103_7	1
AYHHOK9GDSWNH	106_0	1
A18WNE09USHJSG	106_0	1
AEX5NCH03LWSG	106_0	1
A3PIXX8DQGYHGI	106_0	2
A18941IO2ZZWW6	106_0	2
AXTU992Z7V3ZX	106_0	1
A3G0MGLBT484I1	106_0	1
A5C6BAAHFTJFP	106_0	1
AUPV5WJK85K4F	106_0	1
A11GX90QFWDLMM	106_4	2
AEX5NCH03LWSG	106_4	2
A3G0MGLBT484I1	106_4	1
AXTU992Z7V3ZX	106_4	2
A5C6BAAHFTJFP	106_4	2
A3PIXX8DQGYHGI	106_4	2
A18941IO2ZZWW6	106_4	2
A18WNE09USHJSG	106_4	2
AYHHOK9GDSWNH	106_4	2
AXTU992Z7V3ZX	106_7	2
A5C6BAAHFTJFP	106_7	2
A3PIXX8DQGYHGI	106_7	2
A18WNE09USHJSG	106_7	2
A18941IO2ZZWW6	106_7	2
AEX5NCH03LWSG	106_7	2
