A19PMUTQXDIPLZ	asylum madhouse	10
A4HDO1M600QW5	asylum madhouse	9
A1ASWQQ7MSIQR7	asylum madhouse	8
A2XON1EQOHHFE4	automobile car	10
A1VKZFYJL9MQRY	automobile car	10
A309DAE1D13T8V	automobile car	10
A4HDO1M600QW5	bird cock	9
A2XON1EQOHHFE4	bird cock	8
A227TAJC8MOYK5	bird cock	8
A227TAJC8MOYK5	bird crane	8
AZ8KL6F16ZS7G	bird crane	10
A19PMUTQXDIPLZ	bird crane	8
A19PMUTQXDIPLZ	boy lad	10
A8CQRBBVE7VED	boy lad	10
A4HDO1M600QW5	boy lad	10
A309DAE1D13T8V	brother lad	9
A1VKZFYJL9MQRY	brother lad	3
A1ASWQQ7MSIQR7	brother lad	3
A4HDO1M600QW5	brother monk	8
A2XON1EQOHHFE4	brother monk	10
A1ASWQQ7MSIQR7	brother monk	5
A1VKZFYJL9MQRY	car journey	0
A8CQRBBVE7VED	car journey	0
A19PMUTQXDIPLZ	car journey	6
A227TAJC8MOYK5	cemetery woodland	0
A8CQRBBVE7VED	cemetery woodland	3
A1ASWQQ7MSIQR7	cemetery woodland	0
A8CQRBBVE7VED	coast forest	1
A1VKZFYJL9MQRY	coast forest	0
A19PMUTQXDIPLZ	coast forest	0
A3CWG4SYLGAMHV	coast hill	4
A1ASWQQ7MSIQR7	coast hill	0
A8CQRBBVE7VED	coast hill	2
A1VKZFYJL9MQRY	coast shore	10
A309DAE1D13T8V	coast shore	10
A1ASWQQ7MSIQR7	coast shore	10
AZ8KL6F16ZS7G	cord smile	0
A309DAE1D13T8V	cord smile	0
A1VKZFYJL9MQRY	cord smile	0
A8CQRBBVE7VED	crane implement	0
A3CWG4SYLGAMHV	crane implement	4
AZ8KL6F16ZS7G	crane implement	2
A227TAJC8MOYK5	food fruit	8
A1ASWQQ7MSIQR7	food fruit	4
A4HDO1M600QW5	food fruit	9
A1ASWQQ7MSIQR7	food rooster	0
A1VKZFYJL9MQRY	food rooster	0
A2XON1EQOHHFE4	food rooster	7
A19PMUTQXDIPLZ	forest graveyard	2
A227TAJC8MOYK5	forest graveyard	0
AZ8KL6F16ZS7G	forest graveyard	0
A4HDO1M600QW5	furnace stove	9
A19PMUTQXDIPLZ	furnace stove	9
A2XON1EQOHHFE4	furnace stove	9
A1ASWQQ7MSIQR7	gem jewel	9
A8CQRBBVE7VED	gem jewel	8
A4HDO1M600QW5	gem jewel	9
A2XON1EQOHHFE4	glass magician	5
A227TAJC8MOYK5	glass magician	0
A3CWG4SYLGAMHV	glass magician	0
AZ8KL6F16ZS7G	journey voyage	9
A1VKZFYJL9MQRY	journey voyage	9
A2XON1EQOHHFE4	journey voyage	10
A1ASWQQ7MSIQR7	lad wizard	1
A3CWG4SYLGAMHV	lad wizard	3
A1VKZFYJL9MQRY	lad wizard	0
A227TAJC8MOYK5	magician wizard	9
A19PMUTQXDIPLZ	magician wizard	9
A4HDO1M600QW5	magician wizard	10
A8CQRBBVE7VED	midday noon	8
A19PMUTQXDIPLZ	midday noon	9
A227TAJC8MOYK5	midday noon	9
A19PMUTQXDIPLZ	monk oracle	6
A1VKZFYJL9MQRY	monk oracle	0
A309DAE1D13T8V	monk oracle	8
A8CQRBBVE7VED	monk slave	0
A4HDO1M600QW5	monk slave	4
A227TAJC8MOYK5	monk slave	0
A4HDO1M600QW5	noon string	0
A1VKZFYJL9MQRY	noon string	0
A8CQRBBVE7VED	noon string	0
A2XON1EQOHHFE4	rooster voyage	0
AZ8KL6F16ZS7G	rooster voyage	0
A309DAE1D13T8V	rooster voyage	0
A227TAJC8MOYK5	shore woodland	0
A1VKZFYJL9MQRY	shore woodland	0
A3CWG4SYLGAMHV	shore woodland	4
A309DAE1D13T8V	tool implement	9
A227TAJC8MOYK5	tool implement	9
A2XON1EQOHHFE4	tool implement	10
