question,worker,answer
228,A1VW9W0DWXCPYE,0
228,A3NU1SQPI1NXY4,0
228,AKBP92VUQ7G3,0
228,ATQWZNGQCN1RA,0
228,A2V3P1XE33NYC3,3
228,A2UFD1I8ZO1V4G,0
228,AD317NO9623GZ,0
228,A3E157ZN8XPUKJ,0
228,AM2W23THD4CI7,0
519,A1VW9W0DWXCPYE,0
519,A3NU1SQPI1NXY4,3
519,AKBP92VUQ7G3,0
519,ATQWZNGQCN1RA,0
519,A2V3P1XE33NYC3,1
519,A2UFD1I8ZO1V4G,0
519,AD317NO9623GZ,2
519,A1PAR1TMKFPKQE,0
519,A3E157ZN8XPUKJ,0
424,A1VW9W0DWXCPYE,2
424,A3NU1SQPI1NXY4,2
424,AKBP92VUQ7G3,0
424,ATQWZNGQCN1RA,2
424,A2V3P1XE33NYC3,2
424,A2UFD1I8ZO1V4G,0
424,AD317NO9623GZ,2
424,A3GLUDQZGEJL5G,2
424,A1KZOLS51I9SS7,2
198,A1VW9W0DWXCPYE,0
198,A3NU1SQPI1NXY4,3
198,AKBP92VUQ7G3,2
198,ATQWZNGQCN1RA,0
198,A2V3P1XE33NYC3,0
198,A2UFD1I8ZO1V4G,2
198,AD317NO9623GZ,0
198,AWRAXV1RIYR0M,0
198,A1PAR1TMKFPKQE,0
493,A1VW9W0DWXCPYE,0
493,A3NU1SQPI1NXY4,0
493,AKBP92VUQ7G3,1
493,ATQWZNGQCN1RA,0
493,A2V3P1XE33NYC3,1
493,A2UFD1I8ZO1V4G,0
493,AD317NO9623GZ,2
493,A1PAR1TMKFPKQE,0
493,A53VNQRRFQ785,0
197,A1VW9W0DWXCPYE,3
197,A3NU1SQPI1NXY4,0
197,AKBP92VUQ7G3,3
197,ATQWZNGQCN1RA,3
197,A2V3P1XE33NYC3,3
197,A2UFD1I8ZO1V4G,3
197,AD317NO9623GZ,3
197,AWRAXV1RIYR0M,3
197,A1PAR1TMKFPKQE,3
267,A1VW9W0DWXCPYE,0
267,A3NU1SQPI1NXY4,3
267,AKBP92VUQ7G3,0
267,ATQWZNGQCN1RA,2
267,A2V3P1XE33NYC3,1
267,A2UFD1I8ZO1V4G,0
267,AD317NO9623GZ,0
267,A1C0Z73809FFDZ,0
267,A1BHMDRWW9ZYSO,0
578,A1VW9W0DWXCPYE,1
578,A3NU1SQPI1NXY4,1
578,AKBP92VUQ7G3,2
578,ATQWZNGQCN1RA,1
578,A2V3P1XE33NYC3,1
578,A2UFD1I8ZO1V4G,3
578,AD317NO9623GZ,3
578,A1PAR1TMKFPKQE,0
578,A2BERTY629PZDT,2
116,A1VW9W0DWXCPYE,1
116,A3NU1SQPI1NXY4,2
116,AKBP92VUQ7G3,2
116,ATQWZNGQCN1RA,2
116,A2V3P1XE33NYC3,0
116,A2UFD1I8ZO1V4G,1
116,AD317NO9623GZ,1
116,A1PAR1TMKFPKQE,1
116,A1BHMDRWW9ZYSO,1
443,A1VW9W0DWXCPYE,1
443,A3NU1SQPI1NXY4,1
443,AKBP92VUQ7G3,3
443,ATQWZNGQCN1RA,0
443,A2V3P1XE33NYC3,2
443,A2UFD1I8ZO1V4G,2
443,AD317NO9623GZ,0
443,A3E157ZN8XPUKJ,1
443,A1BHMDRWW9ZYSO,1
265,A1VW9W0DWXCPYE,1
265,A3NU1SQPI1NXY4,1
265,AKBP92VUQ7G3,1
265,ATQWZNGQCN1RA,1
265,A2V3P1XE33NYC3,1
265,A2UFD1I8ZO1V4G,1
265,AD317NO9623GZ,2
265,A1C0Z73809FFDZ,1
265,A1BHMDRWW9ZYSO,1
86,A1VW9W0DWXCPYE,3
86,A3NU1SQPI1NXY4,0
86,AKBP92VUQ7G3,2
86,ATQWZNGQCN1RA,3
86,A2V3P1XE33NYC3,2
86,A2UFD1I8ZO1V4G,3
86,AD317NO9623GZ,1
86,A1PAR1TMKFPKQE,1
86,A3E157ZN8XPUKJ,3
504,A1VW9W0DWXCPYE,0
504,A3NU1SQPI1NXY4,0
504,AKBP92VUQ7G3,0
504,ATQWZNGQCN1RA,1
504,A2V3P1XE33NYC3,2
504,A2UFD1I8ZO1V4G,0
504,AD317NO9623GZ,0
504,A1PAR1TMKFPKQE,0
504,A3E157ZN8XPUKJ,0
235,A1VW9W0DWXCPYE,1
235,A3NU1SQPI1NXY4,1
235,AKBP92VUQ7G3,2
235,ATQWZNGQCN1RA,1
235,A2H321P1NSEW35,1
235,A2V3P1XE33NYC3,1
235,A2UFD1I8ZO1V4G,1
235,AD317NO9623GZ,3
