question,worker,answer
704,1,3
704,16,2
704,21,2
704,28,1
704,34,3
704,35,0
704,51,3
704,54,1
704,73,2
704,107,2
250,1,3
250,3,0
250,29,3
250,35,3
250,39,0
250,40,3
250,43,3
250,73,3
250,83,3
250,90,2
556,1,2
556,5,2
556,13,2
556,17,2
556,19,0
556,20,1
556,25,3
556,35,1
556,39,3
556,66,3
289,1,2
289,2,3
289,3,3
289,12,2
289,15,1
289,17,2
289,37,2
289,40,2
289,62,0
289,76,3
275,1,1
275,3,0
275,16,1
275,31,2
275,32,3
275,34,1
275,35,0
275,43,1
275,49,1
275,69,1
147,1,3
147,2,1
147,3,2
147,5,2
147,37,2
147,40,0
147,47,1
147,61,3
147,76,3
147,77,1
162,1,1
162,9,1
162,16,3
162,27,1
162,29,1
162,31,0
162,42,0
162,48,2
162,58,2
162,85,2
529,1,2
529,10,2
529,17,2
529,20,1
529,31,1
529,40,2
529,43,2
529,53,0
529,55,2
529,97,0
625,1,2
625,3,2
625,9,2
625,15,2
625,16,1
625,29,2
625,31,1
625,34,2
625,36,0
625,43,2
155,1,2
155,2,3
155,3,2
155,4,1
155,10,1
155,15,2
155,22,1
155,23,2
155,40,2
155,61,2
71,1,2
71,13,0
71,15,2
71,34,1
71,35,3
71,47,3
71,51,2
71,54,2
71,55,0
71,66,0
285,1,0
285,16,0
285,25,1
285,27,0
285,50,0
285,56,1
285,57,3
285,63,3
285,70,0
285,85,0
456,1,2
456,4,2
456,8,2
456,15,1
456,21,1
456,34,0
456,40,2
456,54,1
456,60,2
456,61,0
283,1,0
283,2,3
283,13,0
283,17,0
283,21,0
283,31,1
283,41,0
283,55,3
283,76,1
283,90,2
290,1,1
290,3,1
290,7,2
290,12,1
290,13,1
290,16,1
290,21,1
290,22,0
290,29,3
290,45,1
128,1,3
128,2,3
128,3,1
128,12,0
128,13,1
128,20,0
128,28,3
128,35,0
128,44,0
128,47,3
380,1,0
380,3,2
380,9,3
380,13,0
380,21,2
380,37,0
380,41,3
380,43,0
380,56,3
380,63,3
328,1,3
328,3,1
328,8,1
328,10,2
328,16,3
328,23,3
328,34,3
328,53,2
328,62,3
328,74,3
477,1,0
477,9,0
477,13,3
477,17,0
477,20,3
477,27,0
477,29,0
477,41,0
477,43,3
477,66,0
602,1,2
602,3,2
602,10,2
602,11,3
602,13,0
602,17,0
602,20,3
602,49,2
602,56,3
602,80,0
87,1,1
87,8,1
87,14,3
87,16,1
87,28,1
87,31,2
87,34,1
87,39,1
87,43,1
87,69,3
445,1,0
445,3,1
445,10,0
445,13,0
445,16,0
445,20,3
445,25,3
445,37,2
445,43,0
445,45,0
530,1,3
530,3,2
530,9,3
530,13,0
530,15,1
530,16,1
530,22,1
530,37,1
530,53,3
530,55,3
518,1,2
518,2,2
518,9,2
518,11,0
518,13,2
518,16,3
518,19,1
518,31,0
518,53,3
518,65,1
311,1,3
311,9,1
311,15,0
311,28,0
311,34,3
311,35,0
311,37,0
311,58,3
311,87,0
311,101,0
126,1,2
126,9,2
126,11,0
126,16,0
126,19,2
126,22,2
126,39,1
126,47,1
126,55,2
126,66,2
653,1,3
653,11,0
653,13,1
653,21,3
653,22,3
653,25,0
653,29,2
653,55,0
653,59,2
653,61,3
223,1,2
223,2,1
223,3,0
223,6,3
223,9,2
223,20,3
223,29,2
223,31,3
223,35,1
223,45,2
2,1,2
2,3,3
2,9,2
2,11,0
2,12,3
2,13,3
2,14,3
2,15,1
2,16,0
2,17,3
377,1,2
377,13,0
377,17,2
377,20,3
377,28,3
377,29,3
377,37,2
377,42,1
377,55,1
377,60,2
148,1,2
148,3,0
148,9,2
148,20,3
148,22,2
148,29,2
148,35,0
148,40,2
148,43,1
148,51,2
343,1,1
343,3,3
343,16,0
343,20,0
343,21,0
343,28,0
343,31,2
343,35,2
343,61,1
343,66,3
263,1,0
263,13,3
263,16,0
263,20,3
263,37,3
263,40,0
263,41,0
263,43,0
263,62,3
263,81,0
115,1,2
115,3,1
115,9,2
115,12,2
115,13,0
115,20,0
115,41,2
115,51,2
115,53,0
115,54,1
197,1,3
197,9,3
197,11,0
197,17,0
197,23,3
197,32,3
197,37,3
197,56,1
197,90,3
197,91,3
413,1,3
413,3,0
413,12,2
413,16,0
413,21,3
413,25,2
413,28,0
413,30,1
413,31,2
413,50,3
323,1,2
323,3,1
323,12,2
323,25,1
323,27,2
323,31,1
323,34,2
323,37,2
323,39,0
323,40,1
301,1,3
301,3,2
301,5,0
301,10,3
301,13,1
301,31,2
301,35,1
301,39,2
301,55,3
301,56,1
325,1,2
325,2,3
325,11,2
325,25,2
325,28,2
325,31,1
325,43,1
325,47,3
325,55,1
325,61,2
482,1,3
482,5,1
482,10,3
482,16,1
482,35,0
482,39,1
482,40,0
482,43,3
482,54,2
482,88,1
268,1,2
268,5,2
268,9,3
268,10,2
268,21,2
268,23,2
268,27,2
268,37,2
268,40,0
268,55,2
368,1,0
368,3,0
368,9,0
368,13,3
368,19,2
368,24,3
368,31,3
368,34,0
368,40,3
368,47,0
505,1,1
505,12,0
505,17,1
505,20,3
505,32,1
505,39,0
505,40,2
505,52,3
505,60,1
505,96,0
335,1,0
335,9,0
335,16,3
335,20,2
335,21,1
335,28,0
335,35,0
335,36,0
335,37,0
335,61,3
402,1,1
402,2,0
402,9,1
402,10,1
402,13,2
402,15,3
402,18,2
402,30,2
402,41,3
402,55,1
580,1,3
580,3,1
580,12,3
580,15,3
580,22,3
580,27,3
580,31,0
580,44,2
580,51,3
580,80,3
722,1,1
722,8,0
722,17,3
722,20,3
722,22,1
722,23,1
722,28,1
722,31,0
722,41,0
722,55,0
682,1,1
682,15,2
682,21,3
682,22,0
682,25,3
682,28,2
682,30,1
682,31,0
682,50,1
682,58,0
95,1,1
95,2,1
